#SampleID	env_material	Collection_Date	BioSample
SRR10453993	rhizosphere	2016	SAMN13283986
SRR10453994	rhizosphere	2016	SAMN13283987
SRR10453995	rhizosphere	2016	SAMN13283988
SRR10453996	rhizosphere	2016	SAMN13283989
SRR10453997	Bulk soil	2016	SAMN13284001
SRR10453998	rhizosphere	2016	SAMN13283991
SRR10453999	rhizosphere	2016	SAMN13283992
SRR10454000	rhizosphere	2016	SAMN13283993
SRR10454001	rhizosphere	2016	SAMN13283994
SRR10454002	rhizosphere	2016	SAMN13283995
SRR10454003	rhizosphere	2016	SAMN13283996
SRR10454004	rhizosphere	2016	SAMN13283997
SRR10454005	rhizosphere	2016	SAMN13283998
SRR10454006	rhizosphere	2016	SAMN13283999
SRR10454007	rhizosphere	2016	SAMN13284000
SRR10454008	Bulk soil	2016	SAMN13284012
SRR10454009	rhizosphere	2016	SAMN13284002
SRR10454010	rhizosphere	2016	SAMN13284003
SRR10454011	rhizosphere	2016	SAMN13284004
SRR10454012	rhizosphere	2016	SAMN13284005
SRR10454013	rhizosphere	2016	SAMN13284006
SRR10454014	rhizosphere	2016	SAMN13284007
SRR10454015	rhizosphere	2016	SAMN13284008
SRR10454016	rhizosphere	2016	SAMN13284009
SRR10454017	rhizosphere	2016	SAMN13284010
SRR10454018	rhizosphere	2016	SAMN13284011
SRR10454019	Bulk soil	2016	SAMN13284023
SRR10454020	rhizosphere	2016	SAMN13284013
SRR10454021	rhizosphere	2016	SAMN13284014
SRR10454022	rhizosphere	2016	SAMN13284015
SRR10454023	rhizosphere	2016	SAMN13284016
SRR10454024	rhizosphere	2016	SAMN13284017
SRR10454025	rhizosphere	2016	SAMN13284018
SRR10454026	rhizosphere	2016	SAMN13284019
SRR10454027	rhizosphere	2016	SAMN13284020
SRR10454028	rhizosphere	2016	SAMN13284021
SRR10454029	rhizosphere	2016	SAMN13284022
SRR10454030	Bulk soil	2016	SAMN13284034
SRR10454031	rhizosphere	2016	SAMN13284024
SRR10454032	rhizosphere	2016	SAMN13284025
SRR10454033	rhizosphere	2016	SAMN13284026
SRR10454034	rhizosphere	2016	SAMN13284027
SRR10454035	rhizosphere	2016	SAMN13284028
SRR10454036	rhizosphere	2016	SAMN13284029
SRR10454037	rhizosphere	2016	SAMN13284030
SRR10454038	rhizosphere	2016	SAMN13284031
SRR10454039	rhizosphere	2016	SAMN13284032
SRR10454040	rhizosphere	2016	SAMN13284033
SRR10454041	Bulk soil	2016	SAMN13284045
SRR10454042	rhizosphere	2016	SAMN13284035
SRR10454043	rhizosphere	2016	SAMN13284036
SRR10454044	rhizosphere	2016	SAMN13284037
SRR10454045	rhizosphere	2016	SAMN13284038
SRR10454046	rhizosphere	2016	SAMN13284039
SRR10454047	rhizosphere	2016	SAMN13284040
SRR10454048	rhizosphere	2016	SAMN13284041
SRR10454049	rhizosphere	2016	SAMN13284042
SRR10454050	rhizosphere	2016	SAMN13284043
SRR10454051	rhizosphere	2016	SAMN13284044
SRR10454052	Bulk soil	2016	SAMN13284056
SRR10454053	rhizosphere	2016	SAMN13284046
SRR10454054	rhizosphere	2016	SAMN13284047
SRR10454055	rhizosphere	2016	SAMN13284048
SRR10454056	rhizosphere	2016	SAMN13284049
